UserAge,BrowsingTime,PastPurchases,CartAdds,Recommend
16,0.14,1,1,1
20,1.25,1,1,1
41,1.31,3,1,1
29,5.57,2,4,1
54,0.1,0,0,0
42,0.55,1,0,0
24,8.05,0,0,1
30,0.98,0,0,0
30,5.29,0,1,1
41,1.36,2,1,1
57,0.52,0,0,0
28,1.39,1,1,1
66,6.41,0,2,1
47,9.68,1,1,1
54,8.87,0,0,1
64,2.53,0,0,0
67,5.51,0,0,0
47,1.15,0,0,0
19,1.73,1,2,1
45,11.33,1,0,1
52,0.07,0,0,0
38,0.45,2,0,1
54,1.17,1,1,1
60,0.13,1,1,1
30,1.0,3,1,1
58,4.37,0,1,1
44,2.74,0,1,1
51,11.16,1,0,1
28,8.5,2,4,1
47,2.09,1,0,0
22,1.5,3,0,1
66,2.39,1,0,0
37,4.46,0,1,1
43,1.56,0,0,0
17,4.89,2,2,1
57,2.63,1,0,0
60,4.02,1,0,0
68,2.86,2,0,1
21,1.74,0,0,0
43,14.83,2,1,1
43,7.21,1,1,1
59,0.75,1,1,1
59,10.14,4,1,1
35,3.34,0,0,0
45,11.25,1,0,1
26,8.04,1,1,1
43,2.77,0,1,1
40,0.11,1,1,1
54,1.56,1,0,0
48,3.9,0,1,1
16,5.02,0,0,1
42,1.49,1,0,0
67,0.75,3,0,1
28,9.01,1,0,1
56,20.8,0,0,1
18,3.73,1,1,1
54,0.94,2,1,1
21,1.59,3,0,1
23,0.09,1,1,1
42,12.28,2,1,1
24,0.63,1,1,1
52,4.3,1,2,1
48,1.6,2,0,1
66,4.04,0,0,0
57,5.27,2,1,1
59,8.85,0,0,1
39,1.16,1,1,1
30,0.06,2,2,1
69,0.74,0,1,0
47,11.51,3,0,1
47,10.35,1,1,1
39,4.55,2,2,1
56,4.59,0,0,0
67,5.47,0,1,1
64,0.96,1,1,1
64,12.29,0,2,1
67,2.71,2,1,1
27,2.42,1,0,1
54,3.66,1,1,1
17,0.24,4,3,1
18,0.91,2,2,1
64,6.7,1,0,1
52,0.43,0,0,0
64,4.62,1,1,1
32,1.41,2,1,1
64,2.47,1,1,1
17,1.7,0,1,1
17,2.2,0,0,0
43,6.35,1,0,1
69,1.76,2,1,1
38,4.18,1,0,1
52,3.23,1,3,1
47,5.45,1,1,1
48,13.81,4,1,1
16,6.59,0,0,1
34,1.21,1,0,0
17,0.16,1,0,0
68,1.52,0,0,0
59,4.52,4,0,1
41,0.26,0,0,0
47,3.43,1,1,1
21,4.54,1,2,1
47,2.03,2,0,1
19,7.37,2,1,1
26,0.56,2,3,1
32,0.39,0,0,0
53,6.51,0,1,1
39,3.42,1,1,1
20,5.83,1,0,1
67,2.85,3,2,1
49,1.41,4,1,1
21,8.55,0,0,1
37,8.03,3,1,1
26,5.93,0,2,1
63,1.59,2,0,1
31,4.46,2,0,1
48,2.24,2,1,1
24,0.48,1,1,1
21,12.46,0,0,1
31,0.74,1,0,0
44,15.0,0,0,1
18,2.95,0,2,1
35,1.02,1,0,0
51,3.9,3,3,1
34,10.32,0,0,1
41,6.59,3,0,1
18,8.21,3,1,1
34,5.38,2,0,1
35,5.89,1,1,1
47,9.46,1,1,1
22,1.44,0,0,0
67,3.36,1,2,1
56,1.25,2,2,1
48,21.98,2,0,1
55,14.42,0,1,1
54,0.2,2,1,1
33,6.11,0,1,1
55,12.97,0,1,1
16,1.0,1,1,1
26,4.2,0,0,0
43,12.35,0,0,1
40,0.17,3,1,1
65,5.98,1,0,1
38,1.76,0,1,1
46,12.91,3,2,1
45,17.71,1,0,1
57,14.44,2,1,1
50,3.21,2,1,1
22,9.9,1,1,1
31,9.31,3,1,1
41,1.92,1,1,1
63,8.83,1,2,1
67,0.19,1,0,0
64,4.54,0,1,1
17,1.31,1,0,1
16,0.64,1,0,1
63,0.4,0,1,0
27,5.96,1,0,1
20,2.08,0,1,1
52,6.45,1,0,1
47,0.34,1,1,1
24,1.89,0,0,0
56,3.88,1,0,1
50,7.82,0,1,1
34,1.92,1,0,0
63,4.92,1,0,1
31,10.86,3,1,1
18,4.78,2,0,1
35,1.33,2,0,1
39,0.12,2,0,1
69,10.2,0,1,1
48,0.11,5,0,1
39,10.39,0,0,1
67,3.76,0,0,0
26,13.99,2,0,1
64,8.02,2,0,1
23,30.91,1,4,1
51,2.16,0,1,1
53,7.29,1,1,1
55,2.57,0,1,1
35,3.27,2,0,1
50,4.94,1,0,1
63,10.34,2,1,1
40,20.7,0,1,1
50,7.31,2,1,1
40,2.7,0,0,0
44,2.74,2,0,1
33,6.69,1,2,1
61,1.36,1,0,0
33,0.59,1,0,0
17,2.19,1,1,1
69,1.69,0,1,0
50,1.76,1,2,1
31,1.33,1,0,0
56,0.22,1,1,1
51,0.09,0,0,0
48,22.0,0,3,1
19,2.79,1,0,1
48,2.43,1,0,0
29,5.69,1,0,1
36,1.23,2,3,1
63,14.97,1,0,1
35,7.72,4,1,1
23,0.47,0,0,0
22,2.7,2,1,1
18,10.56,0,0,1
32,14.48,0,1,1
48,3.15,0,1,1
63,4.75,2,0,1
27,0.91,1,0,0
66,23.65,0,1,1
37,1.32,3,1,1
37,14.3,3,0,1
61,5.24,1,0,1
45,4.68,0,2,1
53,3.59,0,2,1
53,1.31,0,1,0
60,0.97,2,3,1
66,1.25,0,0,0
69,1.03,6,1,1
23,7.56,1,0,1
42,2.15,0,3,1
42,0.3,0,2,1
49,17.39,2,0,1
36,10.76,0,0,1
45,13.14,2,0,1
48,26.4,1,3,1
43,0.96,2,0,1
62,2.52,2,1,1
48,7.1,0,1,1
20,5.95,0,1,1
63,0.84,0,0,0
34,8.46,1,1,1
19,1.27,0,1,1
50,1.27,2,1,1
64,3.85,2,0,1
32,4.49,0,0,0
59,4.34,2,1,1
43,0.48,1,0,0
45,10.5,0,0,1
44,1.54,1,0,0
61,0.69,0,2,1
68,10.98,4,1,1
21,15.58,1,0,1
50,9.91,5,1,1
56,8.29,1,1,1
52,5.32,0,2,1
39,4.0,2,0,1
44,0.46,6,1,1
64,2.63,0,2,1
61,2.33,2,2,1
68,1.5,2,1,1
46,6.43,2,0,1
50,3.42,0,2,1
48,0.42,0,1,0
67,1.24,2,0,0
36,5.75,1,1,1
47,0.4,1,1,1
38,9.53,1,2,1
48,3.42,1,2,1
18,3.28,2,1,1
33,4.49,0,0,0
40,8.71,3,0,1
57,2.14,1,0,0
46,5.67,1,0,1
69,4.17,3,1,1
18,1.55,1,0,1
55,10.54,1,0,1
61,7.98,1,0,1
39,5.37,0,1,1
65,9.51,1,2,1
47,10.1,1,1,1
62,6.16,0,2,1
37,9.07,0,0,1
38,5.98,0,1,1
17,5.7,1,0,1
42,4.82,2,0,1
57,6.99,1,0,1
17,0.86,1,1,1
41,10.64,2,1,1
32,10.27,2,0,1
55,0.15,1,0,0
48,8.74,0,1,1
24,0.69,1,2,1
58,2.04,1,1,1
69,6.8,0,0,0
63,0.88,0,2,1
54,8.52,0,3,1
44,8.92,2,1,1
57,3.54,2,1,1
41,0.03,3,1,1
50,1.69,2,0,1
65,4.8,1,0,1
40,19.87,0,1,1
39,5.0,1,1,1
28,1.5,1,0,0
22,5.03,0,0,1
51,3.88,1,1,1
60,7.57,1,0,1
35,0.57,0,0,0
16,7.16,0,0,1
23,3.9,2,2,1
61,16.48,3,2,1
31,2.09,1,2,1
29,5.01,2,0,1
27,13.44,2,2,1
66,0.54,2,0,0
38,13.84,2,1,1
30,5.82,2,2,1
43,0.35,3,1,1
49,1.79,0,0,0
17,6.16,1,0,1
47,0.35,2,2,1
38,4.36,1,1,1
37,2.12,2,1,1
66,4.85,2,2,1
40,0.23,4,0,1
37,10.26,1,1,1
37,18.15,1,0,1
64,17.35,4,0,1
67,6.92,2,0,1
57,0.7,0,1,0
21,7.1,2,2,1
30,0.12,0,1,1
69,0.11,1,0,0
58,1.95,2,1,1
52,3.35,0,0,0
48,7.36,4,1,1
23,5.75,3,0,1
68,2.95,2,3,1
59,1.6,0,2,1
59,29.26,1,1,1
20,2.78,1,0,1
54,3.0,3,1,1
19,0.89,2,1,1
21,7.92,1,2,1
60,5.92,1,0,1
47,1.25,1,2,1
67,0.43,1,0,0
45,5.7,1,1,1
62,5.31,1,0,1
50,1.6,0,1,0
55,15.07,1,0,1
67,0.82,1,0,0
31,2.83,1,0,1
28,14.38,2,0,1
65,2.72,2,1,1
57,5.09,2,0,1
45,2.53,0,0,0
34,1.6,0,1,1
32,20.67,2,0,1
34,2.63,1,2,1
43,11.23,1,2,1
41,1.31,1,0,0
52,1.2,1,1,1
41,0.16,1,1,1
68,5.27,0,0,0
38,2.3,0,1,1
24,9.99,1,1,1
27,3.2,0,0,0
68,17.24,3,0,1
16,1.03,0,1,1
16,10.15,1,0,1
62,7.49,0,0,0
49,7.37,2,1,1
47,9.31,0,0,1
69,7.16,0,0,0
63,4.92,1,0,1
40,0.7,2,0,1
55,0.17,1,0,0
60,12.68,3,1,1
68,4.79,0,0,0
16,7.96,3,0,1
31,3.28,2,3,1
54,0.62,1,0,0
20,0.67,1,0,0
37,5.78,2,0,1
44,2.81,1,1,1
18,1.12,2,2,1
27,3.38,0,1,1
41,0.33,1,0,0
31,4.36,2,1,1
66,1.57,0,0,0
52,7.99,2,0,1
37,1.86,2,2,1
44,3.04,0,1,1
29,0.06,1,0,0
43,0.38,0,3,1
20,2.49,2,1,1
62,3.27,0,1,1
64,4.58,0,1,1
45,1.72,0,0,0
61,5.94,0,1,1
67,9.83,0,2,1
20,7.57,2,1,1
27,0.2,1,0,0
31,3.27,5,0,1
41,0.55,0,1,0
41,1.39,3,0,1
63,21.59,0,1,1
36,0.77,2,0,1
54,3.45,1,1,1
51,4.81,2,3,1
48,6.06,2,3,1
45,4.1,0,2,1
52,0.05,2,1,1
38,1.98,2,1,1
25,3.65,1,1,1
69,0.46,1,0,0
20,2.16,0,0,0
51,0.17,1,1,1
49,0.41,2,2,1
67,2.53,2,0,1
46,0.71,0,0,0
25,4.19,0,2,1
34,5.85,0,0,1
47,8.06,0,3,1
16,1.12,0,0,0
20,0.92,4,0,1
60,0.55,0,0,0
19,5.06,1,0,1
31,6.13,1,0,1
39,0.16,1,0,0
31,13.76,2,0,1
17,0.27,2,3,1
64,3.9,1,0,0
43,6.17,2,1,1
47,10.24,1,1,1
42,6.26,1,1,1
35,8.09,5,0,1
39,2.07,1,1,1
27,8.43,1,2,1
65,0.42,1,2,1
50,11.26,0,2,1
48,3.97,0,0,0
48,8.5,0,3,1
66,3.01,2,0,1
58,5.16,0,0,0
52,3.74,0,2,1
27,6.58,0,0,1
18,0.43,0,0,0
16,0.31,1,1,1
48,1.42,1,1,1
55,0.87,0,1,0
25,10.27,2,1,1
58,1.24,0,1,0
59,18.62,1,2,1
44,2.05,0,0,0
28,1.01,3,0,1
27,7.8,1,0,1
46,5.38,2,1,1
61,3.45,1,3,1
17,4.05,2,1,1
66,6.35,0,2,1
65,1.3,1,0,0
50,28.04,1,2,1
38,18.4,1,1,1
32,5.25,2,0,1
41,1.11,1,3,1
23,5.7,0,1,1
44,0.37,1,0,0
41,0.16,1,1,1
25,1.49,2,1,1
41,3.11,0,0,0
49,10.14,3,0,1
66,6.49,2,0,1
56,6.79,2,0,1
22,2.77,3,2,1
19,2.12,2,0,1
68,2.32,0,2,1
65,21.97,0,0,1
60,0.2,2,1,1
26,10.09,1,0,1
44,4.32,1,2,1
51,2.89,2,2,1
40,6.46,2,0,1
36,3.33,0,0,0
51,10.33,1,0,1
25,11.55,0,3,1
52,2.74,1,0,0
24,1.62,3,0,1
39,4.49,0,2,1
50,12.17,2,3,1
64,1.18,3,2,1
50,4.88,3,1,1
63,4.99,2,1,1
51,6.6,3,1,1
33,0.71,0,1,1
64,6.29,4,0,1
54,11.99,3,2,1
47,0.99,0,0,0
39,1.36,2,1,1
38,17.77,0,1,1
47,1.0,1,1,1
52,9.63,0,0,1
27,3.39,2,1,1
64,1.42,0,1,0
28,10.23,0,0,1
38,2.95,1,0,1
40,3.62,3,1,1
50,2.23,1,0,0
56,4.49,2,0,1
45,0.89,0,1,0
32,2.48,0,1,1
64,17.44,1,1,1
35,1.49,1,2,1
63,5.35,4,1,1
40,1.97,0,2,1
37,7.42,1,0,1
28,0.7,1,0,0
34,17.5,0,0,1
64,3.02,0,0,0
51,1.35,1,0,0
27,0.38,1,0,0
56,0.93,1,1,1
34,3.67,2,0,1
27,2.05,4,1,1
24,8.83,1,0,1
22,2.82,0,0,0
43,1.43,2,2,1
29,4.8,3,1,1
46,6.13,0,2,1
67,0.91,1,0,0
34,0.92,0,0,0
62,0.19,1,1,1
31,6.67,1,3,1
68,5.45,1,4,1
20,3.22,0,0,0
50,9.29,3,1,1
27,8.19,2,2,1
40,4.4,3,1,1
67,10.14,3,0,1
36,1.15,1,0,0
51,0.59,3,3,1
68,1.57,1,2,1
38,0.29,5,0,1
31,3.79,0,0,0
54,13.79,2,2,1
60,0.2,2,0,0
68,0.65,2,1,1
57,3.01,1,0,0
54,13.58,0,1,1
29,1.9,2,1,1
46,3.54,2,1,1
20,0.21,1,1,1
50,0.8,0,0,0
38,21.57,3,1,1
44,16.78,3,2,1
58,0.02,1,0,0
26,15.16,1,3,1
33,5.1,3,1,1
62,10.12,0,2,1
27,3.03,0,0,0
24,3.62,1,0,1
25,3.36,4,0,1
59,5.5,2,1,1
32,0.75,1,0,0
53,0.15,2,0,0
22,1.84,3,2,1
61,6.1,1,0,1
28,1.13,1,2,1
55,5.6,4,0,1
57,17.52,1,0,1
24,0.49,0,0,0
65,5.58,0,2,1
42,2.93,1,1,1
17,10.13,0,2,1
20,0.97,0,0,0
44,5.9,0,1,1
52,9.1,4,0,1
53,14.47,1,2,1
34,5.75,0,1,1
23,3.44,0,2,1
63,4.81,0,0,0
60,10.16,0,1,1
16,4.23,1,0,1
37,0.15,0,0,0
67,13.36,0,0,1
32,5.85,1,0,1
22,5.64,1,1,1
40,1.21,0,0,0
60,5.38,0,1,1
19,2.5,1,1,1
51,5.27,2,3,1
21,0.56,1,1,1
46,5.36,0,0,0
34,37.21,1,0,1
59,0.25,1,1,1
69,18.9,1,1,1
54,2.61,1,0,0
42,10.23,1,1,1
25,7.63,2,1,1
41,4.19,2,2,1
34,6.71,4,0,1
54,10.54,0,2,1
18,2.59,2,0,1
60,1.98,2,2,1
28,5.51,2,1,1
65,8.25,2,1,1
43,7.18,0,2,1
35,7.99,1,2,1
43,2.86,2,1,1
23,8.51,1,1,1
56,0.64,1,0,0
54,3.93,1,1,1
16,0.03,1,1,1
18,1.96,0,2,1
28,2.28,0,1,1
43,2.52,0,0,0
64,5.94,1,0,1
40,2.46,3,1,1
48,2.98,1,1,1
53,1.36,1,0,0
68,2.34,3,0,1
21,1.29,1,2,1
59,0.38,0,1,0
60,4.62,1,2,1
47,5.52,0,1,1
60,4.83,0,1,1
62,3.11,4,1,1
36,2.39,1,2,1
31,9.95,0,2,1
69,3.66,2,0,1
36,3.26,0,0,0
26,0.13,0,1,1
52,2.09,0,2,1
51,2.39,2,0,1
50,2.54,1,0,0
34,4.34,1,0,1
35,3.81,3,0,1
33,4.68,1,0,1
62,7.24,0,2,1
56,8.38,0,0,1
64,6.33,1,0,1
29,15.56,2,2,1
30,0.09,1,0,0
46,1.09,0,2,1
16,0.04,1,1,1
68,5.21,1,0,1
69,11.42,0,2,1
69,1.4,1,1,1
18,13.09,0,1,1
31,0.31,1,2,1
38,13.62,1,3,1
26,2.17,0,2,1
27,0.53,2,1,1
25,3.33,1,0,1
47,1.48,1,1,1
31,1.68,3,1,1
23,1.84,0,1,1
53,8.12,0,0,1
27,3.87,3,0,1
39,1.86,1,2,1
43,4.71,3,1,1
68,6.3,2,1,1
23,1.59,4,1,1
43,2.67,0,1,1
51,0.65,1,1,1
41,1.0,4,0,1
23,5.71,1,1,1
65,1.0,1,2,1
43,3.72,1,2,1
43,6.17,1,1,1
52,0.57,2,3,1
56,4.19,0,1,1
51,1.48,0,0,0
42,16.47,1,1,1
69,3.3,2,0,1
32,8.2,0,0,1
24,4.0,2,2,1
48,0.22,4,0,1
68,5.01,0,0,0
35,15.12,0,1,1
28,4.6,0,1,1
43,8.55,1,1,1
63,10.78,3,1,1
44,1.29,1,1,1
28,1.19,0,2,1
61,4.72,0,2,1
50,2.65,0,0,0
21,9.16,1,0,1
33,11.51,1,2,1
66,2.18,2,1,1
20,1.35,1,3,1
62,7.58,1,0,1
40,1.61,0,1,1
17,8.65,0,1,1
25,2.76,2,2,1
45,5.51,4,0,1
65,0.5,2,1,1
60,4.89,1,0,1
20,3.01,2,1,1
48,4.42,1,0,1
69,0.92,0,0,0
16,6.68,1,0,1
33,9.93,0,1,1
47,1.22,2,0,1
62,0.5,2,1,1
64,0.12,0,0,0
26,5.14,1,0,1
36,4.67,3,1,1
41,3.96,2,0,1
40,1.32,0,0,0
37,2.48,0,1,1
42,4.51,2,0,1
64,3.43,1,0,0
28,22.03,1,1,1
48,0.73,3,0,1
49,5.94,1,1,1
56,2.59,1,0,0
50,2.79,0,1,1
16,6.32,1,1,1
36,5.9,1,1,1
63,23.7,2,1,1
21,0.69,1,1,1
43,0.55,1,1,1
32,6.44,0,1,1
20,4.32,3,0,1
46,1.6,1,1,1
20,0.41,0,0,0
53,0.45,3,2,1
18,11.23,0,2,1
68,1.07,1,3,1
38,1.95,3,1,1
52,1.29,1,0,0
68,2.19,2,0,1
52,0.36,1,3,1
25,3.66,0,0,0
25,0.35,0,0,0
34,8.06,1,0,1
32,1.33,2,0,1
36,3.88,1,1,1
29,10.6,0,0,1
24,5.26,1,0,1
61,3.81,1,0,0
16,1.96,2,0,1
66,2.02,3,3,1
60,5.54,5,0,1
28,25.7,2,0,1
19,5.42,2,2,1
16,4.08,0,1,1
64,6.56,3,2,1
55,3.13,2,1,1
47,0.31,2,0,1
49,4.13,1,0,1
43,15.81,1,0,1
46,0.96,0,2,1
23,5.86,0,1,1
54,1.12,3,0,1
41,3.84,1,0,1
49,0.51,3,0,1
69,2.99,0,0,0
69,7.06,1,1,1
18,2.14,2,1,1
65,5.47,0,0,0
27,7.93,1,0,1
16,13.1,1,1,1
69,1.34,1,1,1
59,2.55,1,1,1
20,0.83,0,0,0
45,24.45,2,0,1
45,13.09,0,0,1
32,3.88,1,1,1
63,9.23,0,0,1
62,3.68,2,1,1
38,4.89,0,2,1
30,0.47,0,0,0
52,7.04,2,0,1
36,0.68,0,1,1
29,8.75,3,3,1
17,7.62,0,0,1
26,6.17,1,1,1
66,0.18,0,0,0
54,1.81,1,1,1
53,1.53,1,2,1
49,2.23,0,1,1
53,0.46,1,0,0
65,13.82,2,0,1
49,4.03,1,0,1
33,1.82,2,1,1
45,2.53,0,0,0
30,2.96,2,0,1
42,4.59,0,2,1
66,3.63,0,0,0
49,12.59,2,0,1
67,3.44,1,0,0
53,24.24,1,2,1
48,9.53,0,0,1
39,1.17,1,0,0
30,13.34,1,1,1
45,0.62,1,2,1
57,8.5,1,2,1
66,2.4,3,0,1
32,10.52,0,0,1
20,10.13,0,2,1
44,8.2,1,3,1
19,7.8,1,1,1
25,1.82,0,2,1
32,0.42,1,2,1
25,2.58,0,1,1
32,0.95,1,0,0
35,5.94,2,0,1
39,2.12,0,0,0
20,18.57,1,1,1
49,5.12,4,2,1
21,8.64,0,0,1
68,0.71,1,1,1
17,9.9,1,2,1
28,12.8,0,1,1
58,3.34,1,0,0
58,4.66,4,1,1
63,7.24,1,1,1
26,0.96,1,1,1
66,3.49,1,1,1
62,2.54,1,0,0
38,0.79,1,1,1
31,2.29,3,2,1
46,0.35,1,1,1
26,0.13,1,2,1
69,0.73,2,1,1
31,16.5,0,0,1
23,3.99,1,0,1
19,16.88,1,1,1
55,2.83,0,2,1
19,1.87,3,0,1
40,3.53,2,1,1
18,2.89,2,1,1
47,0.56,0,1,0
18,5.12,1,0,1
42,1.22,1,0,0
44,4.83,2,0,1
47,5.25,0,0,0
65,0.82,0,1,0
66,0.32,2,0,0
34,7.59,1,1,1
36,3.08,2,0,1
20,0.3,1,0,0
33,26.36,0,2,1
43,0.3,0,1,0
57,5.94,0,1,1
37,20.58,1,1,1
36,1.37,1,0,0
21,0.77,0,0,0
16,0.65,2,1,1
20,1.81,2,1,1
56,0.53,1,0,0
27,5.89,0,1,1
41,0.32,1,1,1
61,3.56,2,1,1
49,28.56,1,0,1
64,8.41,3,1,1
29,4.78,3,0,1
41,1.83,0,1,1
60,4.89,0,1,1
42,3.74,0,0,0
24,2.78,2,0,1
41,0.7,0,2,1
62,10.88,1,0,1
37,2.99,2,1,1
62,1.08,0,3,1
45,2.29,0,1,1
58,2.67,3,1,1
63,8.79,1,1,1
32,6.61,1,1,1
41,7.33,0,1,1
51,0.06,1,0,0
16,2.69,0,1,1
23,3.28,0,1,1
64,0.1,3,2,1
50,1.5,1,0,0
67,7.14,1,4,1
30,0.74,1,1,1
62,3.83,0,0,0
37,1.21,0,1,1
29,0.06,1,1,1
41,1.38,0,0,0
43,18.62,2,1,1
38,8.09,4,0,1
29,16.04,1,3,1
39,3.35,2,1,1
17,0.58,0,0,0
60,3.97,1,3,1
41,3.03,2,1,1
29,9.3,3,1,1
66,0.52,1,0,0
22,3.35,0,2,1
18,0.81,0,0,0
62,1.96,1,1,1
38,6.68,1,0,1
61,3.23,0,0,0
58,2.36,1,0,0
62,2.51,1,2,1
60,3.08,1,2,1
33,7.69,0,0,1
53,11.13,0,0,1
50,15.54,2,0,1
66,7.73,2,2,1
30,1.89,2,1,1
40,5.83,1,2,1
52,2.88,4,1,1
43,1.47,1,1,1
25,9.19,0,0,1
54,0.2,2,1,1
32,11.6,1,0,1
54,3.09,1,1,1
37,5.07,2,1,1
41,5.38,1,2,1
59,11.27,2,3,1
40,5.06,1,0,1
32,4.76,0,1,1
28,0.34,2,1,1
35,3.65,0,0,0
40,0.81,1,0,0
19,6.69,0,0,1
25,3.59,2,2,1
18,5.7,1,1,1
56,0.21,0,1,0
60,0.44,2,3,1
33,6.3,1,2,1
62,0.37,1,2,1
51,0.37,4,1,1
62,0.06,1,1,1
37,15.68,1,1,1
49,6.69,1,0,1
62,2.18,1,2,1
23,1.76,1,0,1
55,2.15,0,1,1
64,7.45,2,0,1
59,5.41,1,0,1
34,1.02,2,0,1
57,0.96,2,1,1
56,0.52,0,0,0
52,5.4,0,0,0
21,7.23,0,0,1
67,1.54,1,1,1
41,0.11,0,0,0
49,0.43,4,1,1
60,17.19,1,0,1
21,1.75,2,4,1
52,7.33,1,0,1
48,4.9,2,3,1
68,2.41,1,0,0
37,1.15,1,3,1
36,0.65,3,0,1
21,4.77,2,0,1
21,7.45,1,1,1
63,5.16,1,0,1
19,3.78,0,1,1
45,0.21,1,1,1
26,17.29,1,2,1
45,8.02,2,1,1
46,1.73,0,0,0
39,19.55,1,0,1
24,4.61,3,2,1
18,4.37,3,1,1
66,6.89,2,2,1
46,8.35,3,1,1
55,5.34,2,1,1
52,0.69,0,0,0
51,2.06,2,0,1
39,13.16,0,0,1
46,1.27,1,1,1
21,2.33,1,0,1
17,2.83,0,2,1
35,2.89,0,0,0
43,4.75,1,2,1
26,14.33,1,0,1
19,1.38,1,0,1
30,0.65,1,1,1
21,1.1,1,0,1
69,10.9,0,1,1
64,5.19,2,0,1
45,1.68,2,0,1
53,8.46,0,1,1
66,9.88,0,0,1
17,9.37,0,1,1
30,12.56,2,2,1
26,1.45,2,0,1
23,7.03,0,3,1
41,3.09,0,0,0
66,9.23,0,1,1
60,6.52,0,1,1
59,7.49,1,0,1
20,5.34,2,1,1
21,0.98,1,0,1
41,3.94,1,0,1
69,20.89,0,2,1
19,13.85,0,0,1
34,0.22,2,0,1
35,0.9,1,2,1
48,0.71,0,1,0
35,6.47,1,1,1
64,8.51,0,0,1
27,1.2,3,0,1
62,3.52,1,2,1
16,9.18,0,2,1
41,6.6,0,0,1
29,3.91,2,0,1
53,4.46,2,1,1
52,3.55,0,0,0
26,1.77,1,1,1
51,4.16,1,0,1
28,5.84,2,0,1
58,10.33,1,1,1
18,5.06,1,1,1
48,7.16,1,2,1
21,0.87,2,1,1
65,3.1,3,0,1
25,0.05,1,1,1
20,1.42,1,1,1
38,6.48,1,2,1
